,Time,Open,High,Low,Close,Volume
0,2020-10-27 04:03,1.1821,1.18215,1.18208,1.1820899999999999,419
1,2020-10-27 04:04,1.18208,1.18214,1.18208,1.18214,145
2,2020-10-27 04:05,1.18214,1.18216,1.18212,1.18214,176
3,2020-10-27 04:07,1.18214,1.18225,1.18214,1.18224,119
4,2020-10-27 04:08,1.18223,1.18225,1.18221,1.18222,255
5,2020-10-27 04:09,1.18223,1.18226,1.18221,1.18224,219
6,2020-10-27 04:10,1.18225,1.18226,1.18224,1.18225,156
7,2020-10-27 04:11,1.18224,1.18225,1.18224,1.18224,102
8,2020-10-27 04:12,1.18225,1.18235,1.18221,1.18234,641
9,2020-10-27 04:13,1.18234,1.18235,1.18226,1.18229,450
10,2020-10-27 04:14,1.18228,1.18231,1.1822700000000002,1.18229,582
11,2020-10-27 04:15,1.18231,1.18231,1.18228,1.18229,306
12,2020-10-27 04:16,1.1823,1.1823299999999999,1.18228,1.1823299999999999,379
13,2020-10-27 04:17,1.18235,1.1824,1.1823299999999999,1.18239,275
14,2020-10-27 04:18,1.18241,1.1824299999999999,1.18239,1.18241,421
15,2020-10-27 04:19,1.18241,1.18244,1.18239,1.1824299999999999,377
16,2020-10-27 04:20,1.18244,1.18244,1.18236,1.18236,328
17,2020-10-27 04:21,1.18236,1.18244,1.1823299999999999,1.1824299999999999,633
18,2020-10-27 04:22,1.1824299999999999,1.1824299999999999,1.1823299999999999,1.18235,254
19,2020-10-27 04:23,1.18236,1.18239,1.18236,1.18236,321
20,2020-10-27 04:24,1.18236,1.18241,1.18236,1.18239,574
21,2020-10-27 04:25,1.18238,1.1824,1.18236,1.1823700000000001,571
22,2020-10-27 04:26,1.1823700000000001,1.18242,1.18236,1.18242,522
23,2020-10-27 04:27,1.18241,1.18245,1.18241,1.18245,466
24,2020-10-27 04:28,1.18244,1.18245,1.18239,1.1824,142
25,2020-10-27 04:29,1.18239,1.1824,1.18235,1.18235,292
26,2020-10-27 04:30,1.1823700000000001,1.18241,1.1823700000000001,1.18239,261
27,2020-10-27 04:31,1.18241,1.18241,1.1823700000000001,1.18238,368
28,2020-10-27 04:32,1.18238,1.18239,1.18236,1.18238,320
29,2020-10-27 04:33,1.1824,1.1824,1.18235,1.1823700000000001,548
30,2020-10-27 04:34,1.1823700000000001,1.18238,1.18223,1.18225,357
31,2020-10-27 04:35,1.18225,1.18242,1.18225,1.18239,612
32,2020-10-27 04:36,1.18241,1.18242,1.18235,1.18236,432
33,2020-10-27 04:37,1.1823700000000001,1.18241,1.18236,1.18239,515
34,2020-10-27 04:38,1.18238,1.18248,1.18238,1.18248,531
35,2020-10-27 04:39,1.1824700000000001,1.1824700000000001,1.18242,1.18245,283
36,2020-10-27 04:40,1.18244,1.18246,1.18242,1.18245,329
37,2020-10-27 04:41,1.18245,1.18252,1.18245,1.18246,498
38,2020-10-27 04:42,1.18245,1.1825,1.18245,1.1825,364
39,2020-10-27 04:43,1.18249,1.1825,1.18248,1.18248,170
40,2020-10-27 04:44,1.18248,1.1825,1.18248,1.18249,176
41,2020-10-27 04:45,1.1825,1.1825,1.18248,1.18249,244
42,2020-10-27 04:46,1.1825,1.1825,1.1824299999999999,1.18244,284
43,2020-10-27 04:47,1.1824299999999999,1.18246,1.1824299999999999,1.1824299999999999,608
44,2020-10-27 04:48,1.1824299999999999,1.18245,1.1824299999999999,1.1824299999999999,268
45,2020-10-27 04:49,1.18242,1.18248,1.18242,1.18244,418
46,2020-10-27 04:50,1.1824299999999999,1.18245,1.1824299999999999,1.18244,186
47,2020-10-27 04:51,1.18246,1.18246,1.18238,1.18238,350
48,2020-10-27 04:52,1.18238,1.18239,1.18238,1.18239,225
